name,category,price,image_url,description
慕思乳胶床垫,家居生活,488,https://images.unsplash.com/photo-1441986300917-64674bd600d8,品质卓越，性能出色，深受用户喜爱，是您的理想选择！
兰蔻小黑瓶精华肌底液,美妆护肤,1200,https://images.unsplash.com/photo-1484704849700-f032a568e944,新品上市，限时优惠，正品保障，假一赔十，快来抢购！
德芙巧克力礼盒装,食品饮料,441,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,品质卓越，性能出色，深受用户喜爱，是您的理想选择！
苏泊尔电压力锅,家居生活,2546,https://images.unsplash.com/photo-1441986300917-64674bd600d8,正品行货，原厂直销，质量上乘，性价比高！
百丽女靴秋冬款,服饰鞋包,1045,https://images.unsplash.com/photo-1523275335684-37898b6baf30,热销爆款，好评如潮，品质保证，值得信赖！
李宁羽毛球拍单拍,运动户外,1082,https://images.unsplash.com/photo-1484704849700-f032a568e944,新品上市，限时优惠，正品保障，假一赔十，快来抢购！
九阳豆浆机家用,家居生活,200,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,品质卓越，性能出色，深受用户喜爱，是您的理想选择！
百丽女靴秋冬款,服饰鞋包,1051,https://images.unsplash.com/photo-1441986300917-64674bd600d8,精选优质材料，精细工艺，匠心打造，品质生活之选！
明朝那些事儿当年明月,图书文具,365,https://images.unsplash.com/photo-1484704849700-f032a568e944,品质卓越，性能出色，深受用户喜爱，是您的理想选择！
明朝那些事儿当年明月,图书文具,3488,https://images.unsplash.com/photo-1441986300917-64674bd600d8,精选优质材料，精细工艺，匠心打造，品质生活之选！
iPad Pro 12.9英寸 M4芯片,数码产品,5358,https://images.unsplash.com/photo-1523275335684-37898b6baf30,热销爆款，好评如潮，品质保证，值得信赖！
OLAY小白瓶精华液,美妆护肤,1599,https://images.unsplash.com/photo-1485968579168-82ca61346455,新品上市，限时优惠，正品保障，假一赔十，快来抢购！
植村秀琥珀卸妆油,美妆护肤,1896,https://images.unsplash.com/photo-1523275335684-37898b6baf30,新品上市，限时优惠，正品保障，假一赔十，快来抢购！
苏泊尔电压力锅,家居生活,843,https://images.unsplash.com/photo-1441986300917-64674bd600d8,新品上市，限时优惠，正品保障，假一赔十，快来抢购！
kindle Paperwhite电子书,图书文具,4263,https://images.unsplash.com/photo-1523275335684-37898b6baf30,新品上市，限时优惠，正品保障，假一赔十，快来抢购！
安踏KT7篮球鞋,服饰鞋包,2974,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,热销爆款，好评如潮，品质保证，值得信赖！
牧高笛帐篷户外露营,运动户外,1074,https://images.unsplash.com/photo-1484704849700-f032a568e944,正品行货，原厂直销，质量上乘，性价比高！
斯伯丁篮球NBA系列,运动户外,1732,https://images.unsplash.com/photo-1485968579168-82ca61346455,新品上市，限时优惠，正品保障，假一赔十，快来抢购！
奥利奥饼干巧克力味,食品饮料,652,https://images.unsplash.com/photo-1485968579168-82ca61346455,热销爆款，好评如潮，品质保证，值得信赖！
海蓝之谜精华面霜,美妆护肤,107,https://images.unsplash.com/photo-1484704849700-f032a568e944,正品行货，原厂直销，质量上乘，性价比高！
美赞臣蓝臻奶粉3段,母婴用品,360,https://images.unsplash.com/photo-1484704849700-f032a568e944,新品上市，限时优惠，正品保障，假一赔十，快来抢购！
海蓝之谜精华面霜,美妆护肤,1581,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,正品行货，原厂直销，质量上乘，性价比高！
可优比婴儿床围栏,母婴用品,634,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,正品行货，原厂直销，质量上乘，性价比高！
耐克Air Jordan 1芝加哥限定,服饰鞋包,386,https://images.unsplash.com/photo-1441986300917-64674bd600d8,品质卓越，性能出色，深受用户喜爱，是您的理想选择！
速比涛游泳装备全套,运动户外,1032,https://images.unsplash.com/photo-1485968579168-82ca61346455,正品行货，原厂直销，质量上乘，性价比高！
良品铺子猪肉脯,食品饮料,116,https://images.unsplash.com/photo-1441986300917-64674bd600d8,精选优质材料，精细工艺，匠心打造，品质生活之选！
