name,category,price,image_url,description
Wellness Omega-3 Fish Oil [75 Softgels] - Banded,"[""Kesehatan"",""Vitamin & Suplemen"",""Multivitamin""]",385000.0,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/8/30/117df89b-fbe4-4e1c-be8c-5745c2470667.jpg,"Wellness Omega-3 Fish Oil [75 Softgels]

Exp. Date : Mei 2026
	
Sebagai suplemen untuk membantu memelihara kesehatan tubuh.

Ingredients : 
Omega 3, EPA, DHA, Vitamin E (d-alpha tocopherol).

BPOM RI SI. 074 325 111"
Wellness Dynovite Child Multivitamin,"[""Kesehatan"",""Vitamin & Suplemen"",""Vitamin Bayi""]",192500.0,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/10/8/cb4ab9c9-77ca-4593-886e-6f67e21c989d.jpg,"Wellness Dynovite Child Multivitamin

Exp. Date : Mei 2025

Untuk memelihara kesehatan    

Ingredients : 
Vitamin A, Beta Carotene, Vitamin C, Vitamin D, Vitamin E, Vitamin B1, Vitamin B2, Vitamin B6, Vitamin B12, Niacinamide, Folic Acid, Biotin, Pantothenic Acid,   Zinc, Iron, Iodine, Copper  

BPOM SI. 084 526 871"
Wellness Excell-C 500MG [60 Tablets],"[""Kesehatan"",""Vitamin & Suplemen"",""Vitamin C""]",188000.0,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/8/27/8e2fd3cd-33a4-4674-99f0-a47d90b47525.jpg,"Wellness Excell-C 500mg [60 Tablets]

Exp. Date : Januari 2026

Membantu memenuhi kebutuhan vitamin C

Ingredients : 
Calcium Ascorbate, Citrus Bioflavonoid, Calcium

BPOM RI SI. 114 502 491"
Wellness Natural Vitamin E 400 IU [60 Softgels] - Banded,"[""Kesehatan"",""Vitamin & Suplemen"",""Vitamin E""]",475000.0,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/8/30/923932d6-fc9c-466a-9861-1a33f10e388a.jpg,"Wellness Natural Vitamin E 400 IU [60 Softgels]

Exp. Date : Januari 2026

Vitamin E adalah nutrisi yang penting untuk penglihatan, reproduksi, kesehatan darah, otak, dan kulit. Vitamin E juga memiliki sifat antioksidan, yang akan melindungi sel-sel dari efek radikal bebas. Kekurangan vitamin E dapat menyebabkan masalah kesehatan seperti nyeri saraf.

Detailed info :
Bersumber dari bahan alamiah (d-alpha tocopheryl), sehingga mempunyai khasiat/potensi yang jauh lebih tinggi daripada pada vit E sintetis (dl-alpha tocopheryl)

Benefit :
- Sebagai antioksidan berperan menjaga kesehatan jantung, anti kanker dan anti aging
- Membantu menjaga kesehatan kulit dan organ-organ tubuh lainnya
- Membantu memperbaiki aliran darah
- Membantu meningkatkan daya tahan tubuh
- Membantu fertilitas/kesuburan pada wanita dan pria

Dianjurkan bagi perokok untuk menjaga kesehatan prostat

Suggested use :
1 softgel/hari

Note :
Untuk fertilitas (kesuburan) dianjurkan suami dan istri konsumsi bersama.

BPOM RI SI. 094 330 121"
Bio Oil Dry Skin Gel 100ml & Bio Oil 25ml,"[""Perawatan Tubuh"",""Perawatan Kulit"",""Stretchmark Cream""]",189000.0,https://images.tokopedia.net/img/cache/700/hDjmkQ/2021/10/1/971356f8-ac6e-4ed5-9eed-b2b7a3fe7c51.jpg,"Bio Oil Dry Skin Gel 100ml &amp; Bio Oil 25ml

Bio Oil Dry Skin Gel 100mL (Exp. Date : Oktober 2026)

Bio-Oil Gel Kulit Kering merupakan pelopor baru dalam produk spesialis perawatan kulit kering. Bio-Oil Gel Kulit Kering terdiri dari 87% minyak, menjadikannya pelembab intensif.
Bio-Oil Gel Kulit Kering adalah cara baru untuk merawat kulit kering. Produk untuk kulit kering tradisional seperti krim, lotion dan body butter pada umumnya berbahan dasar air. Sebagian besar air ini menguap begitu saja saat bersentuhan dengan kulit Anda. Hal ini yang seringkali menyebabkan sensasi dingin yang Anda rasakan ketika mengaplikasikan produk-produk tersebut. Bio-Oil Gel Kulit Kering terbuat dari minyak, sehingga terasa “hangat” saat diaplikasikan.
Bio-Oil Gel Kulit Kering menggantikan air yang tidak aktif dan mudah menguap dengan minyak, sehingga membuat produk 100% aktif dan efektif untuk kulit kering.

Keunikan :
- Dengan hanya 3% air, formulasi Bio-Oil Gel Kulit Kering memadukan emollients seperti shea butter dan humectants seperti glycerine dan urea, bersama dengan bahan-bahan yang menenangkan kulit seperti vitamin B3 untuk melembabkan kulit dengan efektif.
- Bio-Oil Gel Kulit Kering mudah untuk diaplikasikan, tidak meninggalkan rasa lengket, dan cepat meresap di kulit.
- Karena berbahan dasar minyak, sedikit penggunaan Bio-Oil Gel Kulit Kering sudah mampu memberikan kelembaban pada kulit secara maksimal

Suggested Use :
- Bio Oil Dry Skin Gel, dapat digunakan keseluruh tubuh, dan pijat dengan gerakan melingkar sampai terserap.
- Oleskan pada kulit kering sesuai kebutuhan.
- Gunakan lebih sedikit dari penggunaan cream.

BPOM RI ND 53180105001


BIO OIL 25ml (Exp. Date : Agustus 2028)

Bio-Oil diformulasikan untuk membantu mengurangi kemungkinan pembentukan stretch mark, menyamarkan bekas luka, noda pigmentasi, mengembalikan minyak alami kulit yang hilang.

Benefit :
- membantu menyamarkan bekas luka baru maupun lama.
- diformulasikan untuk membantu mengurangi kemungkinan pemb"
Bio Oil - Skincare Oil Natural 200ml,"[""Perawatan Tubuh"",""Perawatan Kulit"",""Stretchmark Cream""]",453000.0,https://images.tokopedia.net/img/cache/700/hDjmkQ/2023/11/14/f70418e7-41fd-4bc7-9a08-181efc65029c.jpg,"Bio Oil - Skincare Oil Natural 200ml

Exp. Date : Maret 2026

Bio-Oil Skincare Oil Natural adalah produk spesialis perawatan kulit untuk membantu menyamarkan scars dan stretch marks yang terbuat dari 100% bahan alami

Benefits :
- Peregangan Kulit Membantu mengurangi kemungkinan pembentukan stretch marks selama kehamilan, pertumbuhan pesat pada remaja dan periode kenaikan berat badan, serta membantu menyamarkan stretch marks yang sudah ada
- Bekas Luka Membantu menyamarkan bekas luka
- Warna Kulit yang Tidak Merata Membantu menyamarkan warna kulit  yang tidak merata pada tipe kulit yang terang maupun gelap
- Penuaan dan Kulit Kering Membantu menghaluskan dan meratakan warna kulit yang mengalami penuaan dan kerutan baik pada wajah maupun tubuh, serta membantu mempertahankan kelembaban

Ingredients :
Soybean Oil, Sunflower Seed Oil, Safflower Seed Oil, Jojoba Seed Oil, Chia Seed Oil, Pomegranate Seed Oil, Inca Inchi Seed Oil, Wheatgerm Oil, Rosehip Oil, Camomile Oil, Lavender Oil, Rosemary Oil, Calendula Oil, Patchouli Oil, Bisabolol, Tocopherol

Cara Penggunaan : 
Oleskan dua kali sehari selama minimum tiga bulan. Selama kehamilan oleskan dua kali sehari mulai dari trimester pertama sampai setelah melahirkan. Hasil untuk setiap individu bervariasi.

BPOM RI ND53190100001 "
Bio Oil - Body Lotion 175ml,"[""Perawatan Tubuh"",""Perawatan Kulit"",""Body Lotion""]",193000.0,https://images.tokopedia.net/img/cache/700/VqbcmM/2024/8/30/f783aa82-d2ce-4e46-b5a3-18ecde347770.jpg,"Bio Oil - Body Lotion 175ml

Exp. Date : April 2026

Bio-Oil - Body Lotion pelopor pelembap tubuh yang efektif dengan tekstur yang ringan. Produk ini jauh lebih ringan  dibandingkan dengan lotion tubuh lain, namun memiliki kandungan minyak tinggi sebesar 42%. Kombinasi unik antara kelembutan ultra-ringan dan kandungan minyak yang tinggi ini dapat terwujud berkat formulasi inovatif &#39;kocok sebelum digunakan&#39; dari Bio-Oil. 

Ingredients :
Vitamin E, Vitamin F, Vitamin A, Rosehip Oil, Jojoba Seed Oil, Calendula Extract, Pseudo-Ceramide, Bisabolol, Tocopherol, Urea, Glycerin, Hyaluronic Acid, Lactic Acid, Sodium Lactate, Sodium PCA

Cara Pemakaian :
Kocok sebelum digunakan. Gunakan dua kali sehari di pagi dan malam hari.

BPOM  ND53230100001  "
Bio Oil (125ml) + Bio Oil Dry Skin Gel 100ml,"[""Perawatan Tubuh"",""Perawatan Kulit"",""Stretchmark Cream""]",336000.0,https://images.tokopedia.net/img/cache/700/product-1/2021/7/6/11202919/11202919_9eb948d7-6b47-4da3-b9b4-36e5ec5f4876.jpeg,"Bio Oil - Skincare Oil125mL (Exp.Date : November 2027)

Bio-Oil diformulasikan untuk membantu mengurangi kemungkinan pembentukan stretchmark, menyamarkan bekas luka, noda pigmentasi, mengembalikan minyak alami kulit yang hilang.

Benefit :
Cara pakai:
- Bekas Luka ( Scars )
Oleskan Bio-Oil pada bekas luka dua kali sehari, pijat lembut menggunakan ujung jari dengan gerakan melingkar sampai benar-benar terserap. Gunakan minimal selama 3 bulan. Jangan digunakan pada kulit yang luka.
- Peregangan kulit (Stretch Marks )
Pijat Bio-Oil dua kali sehari pada daerah yang paling rentan terhadap stretchmarks.
Selama kehamilan, pijat Bio-Oil pada bagian perut, pinggul, payudara, punggung bawah, dan paha atas dua kali sehari dari awal trisemester kedua.
Untuk membantu menyamarkan stretch marks yang ada, oleskan Bio-Oil dua kali sehari, pijat menggunakan ujung jari dengan gerakan melingkar sampai bener-benar terserap. Gunakan minimal 3 bulan.
- Warna kulit yang tidak merata
Oleskan Bio-Oil dua kali sehari, pijat lembut menggunakan ujung jari dengan gerakan melingkar sampai benar-benar terserap. Gunakan minimal selama 3 bulan.
- Penuaan kulit
Oleskan Bio-Oil dua kali sehari, pijat lembut menggunakan ujung jari dengan gerakan melingkar sampai benar-benar terserap.
- Kulit Kering
Oleskan Bio-Oil setelah berendam , mandi, berjemur, atau berenang. Pijat lembut pada kulit, berikan perhatian khusus untuk daerah yang kering. Bio-Oil juga ideal digunakan sebagai Bath oil.

BPOM :ND53180105000


Bio Oil - Dry Skin Gel 100 mL (Exp.Date : Agustus 2026)

Bio-Oil Gel Kulit Kering merupakan pelopor baru dalam produk spesialis perawatan kulit kering. Bio-Oil Gel Kulit Kering terdiri dari 87% minyak, menjadikannya pelembab intensif.

Bio-Oil Gel Kulit Kering adalah cara baru untuk merawat kulit kering. Produk untuk kulit kering tradisional seperti krim, lotion dan body butter pada umumnya berbahan dasar air. Sebagian besar air ini menguap begitu saja saat bersentuhan dengan kulit Anda. Hal ini yan"
Bio Oil- (60 ml) -2 pcs,"[""Perawatan Tubuh"",""Perawatan Kulit"",""Penghilang Bekas Luka""]",267200.0,https://images.tokopedia.net/img/cache/700/hDjmkQ/2024/9/2/1ff703af-f247-439e-9529-4453bea8a7d5.jpg,"Bio Oil- (60 ml) -2 pcs

Exp. Date : Mei 2028

Bio-Oil diformulasikan untuk membantu mengurangi kemungkinan pembentukan stretch mark, menyamarkan bekas luka, noda pigmentasi, mengembalikan minyak alami kulit yang hilang.

Benefit :
Cara pakai:
Bekas Luka ( Scars )
Oleskan Bio-Oil pada bekas luka dua kali sehari, pijat lembut menggunakan ujung jari dengan gerakan melingkar sampai benar-benar terserap. Gunakan minimal selama 3 bulan. Jangan digunakan pada kulit yang luka.

Peregangan kulit (Stretch Marks )
Pijat Bio-Oil dua kali sehari pada daerah yang paling rentan terhadap stretch marks.
Selama kehamilan, pijat Bio-Oil pada bagian perut, pinggul, payudara, punggung bawah, dan paha atas dua kali sehari dari awal trisemester kedua.
Untuk membantu menyamarkan stretch marks yang ada, oleskan Bio-Oil dua kali sehari, pijat menggunakan ujung jari dengan gerakan melingkar sampai bener-benar terserap. Gunakan minimal 3 bulan.

Warna kulit yang tidak merata
Oleskan Bio-Oil dua kali sehari, pijat lembut menggunakan ujung jari dengan gerakan melingkar sampai benar-benar terserap. Gunakan minimal selama 3 bulan.

Penuaan kulit
Oleskan Bio-Oil dua kali sehari, pijat lembut menggunakan ujung jari dengan gerakan melingkar sampai benar-benar terserap.

Kulit Kering
Oleskan Bio-Oil setelah berendam , mandi, berjemur, atau berenang. Pijat lembut pada kulit, berikan perhatian khusus untuk daerah yang kering. Bio-Oil juga ideal digunakan sebagai Bath oil.

BPOM :ND53180105000 "
TWIN PACK - Dacco Mama Pad Premium Isi 38pcs - Breast Pad,"[""Ibu & Bayi"",""Peralatan Perlengkapan Menyusui"",""Breast Pad""]",114200.0,https://images.tokopedia.net/img/cache/700/VqbcmM/2024/7/9/6149ac6b-08fc-4498-8b5f-aede4c6175d1.jpg,"Isi Paket :

2x Dacco Mama Pad Premium Isi 38Pcs

Dengan bentuk yang solid, disesuaikan dengan bentuk payudara Ibu.
Polimer penyerap bermolekul tinggi akan menghalangi ASI yang diserap kembali ketubuh Ibu.
Daya serap Max. 110cc
Bentuk pad sesuai dengan bra.
Distabilkan/ditahan dengan baik oleh tape untuk menghindari pad bergeser.

Keunggulan Produk
1.Daya serap tinggi
2.Anti geser dan lembut
3.Bentuk pad sesuai dengan bra

Exp Date 3 tahun dari tanggal produksi

Menentukan tanggal expired :
LOT : MMDDYY (Tanggal Produksi) 
EXP : YY MM DD(-1)  (Tanggal Kadaluarsa)  
o YY = Tahun +3 dari tahun produksi 
o MM = Bulan tetap sama dengan bulan produksi 
o DD = Tanggal -1 dari tanggal produksi  

Cara baca EXP Date :
LOT : 091421 (MMDDYY)
EXP : 091324 (MMDDYY)
(Keterangan)
09: Bulan
13: Tanggal
24: Tahun
Pembacaan : YY = Tahun, MM = Bulan, DD = Tanggal  "
